LOC100698696	CLINGEN:C0220711~Long chain acyl-CoA dehydrogenase deficiency
acadm	CLINGEN:C0220710~Medium-chain acyl-coenzyme A dehydrogenase deficiency
acads	CLINGEN:C0342783~Deficiency of butyryl-CoA dehydrogenase
acadsb	CLINGEN:C1864912~2-Methylbutyryl-CoA Dehydrogenase Deficiency
acadvl	CLINGEN:C3887523~Very long chain acyl-CoA dehydrogenase deficiency
acat1	CLINGEN:C1536500~Deficiency of acetyl-CoA acetyltransferase
LOC100534413	CLINGEN:C0007194~Hypertrophic Cardiomyopathy
LOC100711913	CLINGEN:C1832529~HEREDITARY HEMORRHAGIC TELANGIECTASIA-RELATED PULMONARY ARTERIAL HYPERTENSION
LOC100711913	CLINGEN:C1838163~OSLER-RENDU-WEBER SYNDROME 2
LOC100702846	CLINGEN:C1846647~DEAFNESS, AUTOSOMAL RECESSIVE (disorder)
LOC100702180	CLINGEN:C3501611~Mental Retardation, X-Linked Nonsyndromic
ahcy	CLINGEN:C3151058~S-adenosylhomocysteine hydrolase deficiency
LOC100703385	CLINGEN:C0162309~Adrenoleukodystrophy
LOC100703385	CLINGEN:C1527231~Adrenomyeloneuropathy
alk	CLINGEN:C2751681~NEUROBLASTOMA, SUSCEPTIBILITY TO, 3
amt	CLINGEN:C0751748~Nonketotic Hyperglycinemia
slc25a4	CLINGEN:C4321247~Mitochondrial DNA Depletion Syndrome 12
LOC102079941	CLINGEN:C1704417~Hyperlipoproteinemia Type IIb
LOC102079941	CLINGEN:C3888316~Hypercholesterolemia, familial, due to ligand-defective apolipoprotein B
LOC100702556	CLINGEN:C1838359~Diffuse palmoplantar keratoderma, Bothnian type
asl	CLINGEN:C0268547~Argininosuccinic Aciduria
asns	CLINGEN:C3809971~ASPARAGINE SYNTHETASE DEFICIENCY
ass1	CLINGEN:C0175683~Citrullinemia
ass1	CLINGEN:C0751751~Argininosuccinic Acid Synthetase Deficiency, Complete
ass1	CLINGEN:C4721769~Citrullinemia Type 1
atm	CLINGEN:C0346153~Breast Cancer, Familial
atm	CLINGEN:C1112155~Hereditary non-polyposis colorectal cancer syndrome
atm	CLINGEN:C1333990~Hereditary Nonpolyposis Colorectal Cancer
atm	CLINGEN:C1333991~Hereditary Non-Polyposis Colon Cancer Type 2
