species,pc1,pc2,pc3,pc4,pc5,pc6,pc7,pc8,pc9,pc10,day_night_dif,peak,body_PC1,body_PC2,LPJ_PC1,LPJ_PC2,oral_PC1,oral_PC2,d15N,d13C,total_rest
Altcal,0.14464464375566774,0.1278573595650405,0.100314762173681,0.03757245262115494,-0.10069873196869823,0.06596936889752633,-0.06205703206048103,0.2248216033091544,0.043776574066834495,0.09526967674357263,-0.09688077196515008,0.40277777777777785,-0.013571633361303704,-0.03418704596444872,-0.12250279715053618,-0.002984058721024954,0.03605223394561857,-0.0074761708003968,6.0243768574,-19.025160699999997,14.152500000000003
Altcom,0.08121717619807782,0.18751183866250065,-0.039316045403506084,-0.1761420908820956,0.035657601261415435,-0.007649402275925595,0.19733006506075407,0.1761463352977135,-0.08639437712606171,0.015873650687138988,0.19665849345890915,0.6388888888888888,-0.029809255308481986,-0.03648895962007412,-0.160839784313416,0.002757220837383684,0.03853278969456257,-0.01692112878096769,6.241894364799999,-18.923983018,11.536666666666667
Altshe,-0.10622001022107352,0.11154234855428136,-0.06853488407520905,0.1688851497395459,-0.1642872832410959,0.3430612195552009,-0.02020551788885841,0.06205691016486059,-0.21007681651483012,-0.16846120764429262,0.09149633032297057,0.28571428571428564,-0.016709641800113074,-0.04699148362734793,-0.038929269665459426,0.033618866528283796,0.03159416868474564,-0.017252513850091696,6.229594652200001,-21.989959650000003,17.582857142857144
Astbur,-0.1896115932719103,0.0005715251833611212,0.043702582607649545,0.012512011547374248,-0.01120755224106787,0.0517392253131946,-0.0314245715274939,-0.0182259248955757,-0.04403767732753229,0.06016613045488897,0.4294522195252258,0.5833333333333331,,,,,,,,,4.944545454545454
Auldew,0.1520586928441979,0.06585699924596085,-0.03494149790281842,0.20603069730224735,0.15430083830673666,-0.11720972688842647,-0.06034074033712301,0.005491736715915962,0.013561288468780179,-0.09503806927293312,0.06238460188031745,0.5347222222222222,-0.013662409062806913,-0.05185686513220774,-0.07073282780274506,-0.015013093600458988,0.006418585119660816,-0.01654185747435227,6.461813327899999,-20.65928126,2.9041666666666663
Boumic,-0.17815175841933065,0.08122925521677299,0.013636989199718895,-0.08140443653026944,0.0597631957917461,-0.0186296911372232,-0.0020837908498584426,-0.0015709294287804545,0.05234421431959725,0.06545498025047836,0.3829728420933127,0.7976190476190476,0.01186640170699808,-0.004312597129047758,-0.09145478465784598,0.052196910118218996,0.0010858499874240985,-0.004227087951498053,7.396549162200001,-20.331270122,4.72
Calple,-0.1461362577992595,0.0905311913165092,0.063599998305852,0.2264231934308484,-0.056915155612572536,0.008797459974325655,-0.02385221711606889,-0.23556737430298064,-0.04345498156669311,-0.1824083000799394,0.27048609389984835,0.5694444444444444,0.003183646882609103,-0.010299378869066818,-0.0034824358722008544,0.02138409413811589,0.002401301788029009,0.00548432336965129,8.575019466699999,-16.538895259999997,7.163333333333335
Chacya,0.1349636419822982,0.07458932633513522,-0.16489551667101965,0.24807903199420026,-0.017312519903226575,0.16332466148876468,-0.09795493955032364,-0.03521051039211054,0.0395939297761041,0.13012439037580548,-0.16012207516105026,0.7916666666666666,0.028571627795674966,0.044619535801523426,0.11585429509838756,0.013733956765856046,-0.007438644445342636,0.013713597790572329,5.921893425,-20.273886582,3.39
Juldic,-0.02501764676073064,0.17011868350956744,-0.14979548303435092,0.318675651948805,0.000885662718890831,-0.11970133238979708,-7.58109067321433e-05,-0.05134247936330141,0.13721328702309754,-0.10867556129889644,0.2711256819363755,0.7727272727272727,0.027929699234830907,0.040203950654198156,0.13311169524448982,0.0612311320861049,-0.0012059860283257027,0.01849417129698623,6.892061355799998,-18.888506973,9.76090909090909
Ctehor,-0.1453371104699123,0.004851364121158472,0.10906312866539276,0.17778100688622048,0.29717521244305783,0.023701363341007583,0.1578021078770792,-0.12568272175225476,-0.13939066120420607,0.04242058144189517,0.08360515253297679,0.65625,-0.027598730634903916,-0.03486833422575091,-0.04872270147342892,-0.03983828003475125,0.01715685130490638,0.0012520089448715681,7.9673187301,-18.119185577,3.39125
