"","six_letter_name_Ronco","total_rest","peak_amplitude","peak","day_night_dif","cluster","peak_dawn","peak_dusk"
"0","Altcal",14.1525,8.67826388888889,0.402777777777778,-0.0968807719651501,1,0.333333333333333,0.392857142857143
"1","Altcom",11.5366666666667,10.9411111111111,0.638888888888889,0.196658493458909,2,0.666666666666667,0.523809523809524
"2","Altshe",17.5828571428571,6.97738095238095,0.285714285714286,0.0914963303229706,8,0.387755102040816,0.122448979591837
"3","Astbur",4.94454545454545,9.12113636363637,0.583333333333333,0.429452219525226,7,0.519480519480519,0.454545454545455
"4","Auldew",2.90416666666667,9.21701388888889,0.534722222222222,0.0623846018803175,1,0.44047619047619,0.5
"5","Boumic",4.72,10.3909523809524,0.797619047619048,0.382972842093313,7,0.469387755102041,0.591836734693878
"6","Calple",7.16333333333333,8.70027777777777,0.569444444444444,0.270486093899848,7,0.654761904761905,0.30952380952381
"7","Chacya",3.39,16.4316666666667,0.791666666666667,-0.16012207516105,1,0.928571428571429,0.428571428571429
"8","Cphfro",3.37636363636364,10.0398484848485,0.704545454545455,0.12452903251695,1,0.662337662337662,0.61038961038961
"9","Ctehor",3.39125,11.7892708333333,0.65625,0.0836051525329768,7,0.678571428571429,0.482142857142857
"10","Cypcol",11.2163636363636,5.14212121212121,0.424242424242424,0.426427342979142,7,0.12987012987013,0.233766233766234
"11","Cyplep",10.8608333333333,3.72305555555556,0.347222222222222,0.148457683848852,7,0.5,0.119047619047619
"12","Enamel",11.0272727272727,13.1370454545455,0.507575757575758,0.115069278704096,12,0.415584415584416,0.493506493506494
"13","Erecya",11.94,18.2486111111111,0.833333333333333,0.400012510155594,7,0.595238095238095,0.857142857142857
"14","Gnapfe",11.6414285714286,16.9720238095238,0.464285714285714,-0.0873534614675303,1,0.244897959183673,0.510204081632653
"15","Hapred",5.13666666666667,22.7215277777778,0.784722222222222,0.270525633973985,7,0.714285714285714,0.55952380952381
"16","Juldic",9.76090909090909,12.4966666666667,0.772727272727273,0.271125681936375,5,0.74025974025974,0.636363636363636
"17","Julmrk",12.5866666666667,7.73277777777778,0.583333333333333,0.0971836407266339,6,0.607142857142857,0.464285714285714
"18","Julorn",13.1436363636364,4.83871212121212,0.53030303030303,0.296654592105753,7,0.467532467532468,0.441558441558442
"19","Lamoce",12.7411111111111,12.0339814814815,0.592592592592593,-0.133204377985477,1,0.619047619047619,0.444444444444444
"20","Lamsig",15.1246153846154,1.32301282051282,0.166666666666667,0.710833954177594,7,0.230769230769231,0.0549450549450549
"21","Lepatt",10.391,14.82,0.658333333333333,0.111051667561022,2,0.642857142857143,0.3
