species,corr_coef
Altcal,0.10495264845998392
Altcom,0.009973938303402749
Altshe,0.0811800683313412
Astbur,0.7496931694141359
Auldew,0.1561196244878201
Boumic,0.8460613631162998
Calple,0.14381547665322714
Chacya,0.5211324315329784
Cphfro,0.29427025318621697
Ctehor,0.23214280297485934
Cypcol,0.4529750852538104
Cyplep,0.545216195250293
Enamel,0.047202721487410115
Erecya,0.4894272681865707
Gnapfe,0.19507650078700176
Juldic,0.33598412462993243
Julmrk,0.26260253082710333
Julorn,0.24908747030994188
Lamoce,0.42008910288271445
Lamsig,0.6802322154713648
Lepatt,0.15519208380016133
Lepelo,0.3646994810651176
Limdar,0.27808996081305554
Loblab,0.6086798253397036
Neobre,0.2193375947533852
Neobri,0.32441453129218284
Neobue,0.8303508874687847
Neocau,0.4854687507141558
Neocra,0.3284081620429826
Neocyg,0.4026790071441197
Neocyl,0.2053223212242125
Neodev,0.17992527025354127
NeofaM,0.3506804632741427
Neofal,0.38310207123252116
Neogra,0.38782560862629994
Neohel,0.19986623223592262
Neokom,0.30864217613209133
Neolon,0.20461259422952555
Neomar,0.5169585815627186
Neomul,0.68159750675291
Neonig,0.4290261641407818
Neooli,0.3443292394559643
Neopul,0.23891892141148569
Neosav,0.2739741202019525
Neotoa,0.8828043242969518
Neotre,0.6326043379319105
NeoveS,0.48974411186322586
Neowal,0.18751174981268728
Ophboo,0.505770897838032
Pcynig,0.2760890676723405
Petpol,0.22389931416526979
Telluf,0.40356757951468336
TelteS,0.3369116061364966
Telvit,0.30580584318001175
Trioto,0.36829415389184444
Tromoo,0.2877735502606036
Tronig,0.47355140605822804
Varmoo,0.3798111389435067
Xenbat,0.07305166969500965
Xenspi,0.1485135826460345
