"","SRA_ID","Sample_ID","Species_name","Species_code","Read_depth_(mean|median)"
"14","SRR9674003","JAE7","Boulengerochromis microlepis","Boumic","14.67|16"
"16","SRR9673915","LEI6","Cyphotilapia frontosa","Cphfro","7.05|7"
"19","SRR9674027","JEC7","Cyprichromis coloratus","Cypcol","15.66|18"
"20","SRR9665641","ISI2","Cyprichromis leptosoma","Cyplep","8.9|9"
"28","SRR9657533","GPC4","Paracyprichromis nigripinnis","Pcynig","12.88|14"
"32","SRR9657512","AUA1","Aulonocranus dewindti","Auldew","7.93|8"
"35","SRR9675373","JZE2","Callochromis pleurospilus","Calple","8.02|8"
"42","SRR9657562","AWC5","Xenotilapia melanogenys","Enamel","8.35|8"
"48","SRR9673895","LFI4","Ophthalmotilapia boops","Ophboo","7.64|8"
"54","SRR9665682","IVB4","Xenotilapia bathyphilus","Xenbat","8.98|9"
"71","SRR9657568","AXB5","Xenotilapia spiloptera","Xenspi","7.89|8"
"72","SRR9674015","IZH7","Eretmodus cyanostictus","Erecya","18.76|22"
"77","SRR9665659","IOE2","Altolamprologus calvus","Altcal","7.92|8"
"78","SRR9665646","ISB1","Altolamprologus compressiceps","Altcom","8.29|8"
"79","SRR9665633","IRH2","Altolamprologus sp. 'compressiceps shell' AB-2019","Altshe","5.76|5"
"81","SRR9673839","LGG6","Chalinochromis cyanophleps","Chacya","8.11|8"
"85","SRR9665672","IRC4","Julidochromis dickfeldi","Juldic","10|11"
"86","SRR9673926","LFG8","Julidochromis marksmithi","Julmrk","6.77|7"
"88","SRR9665644","ISB7","Julidochromis ornatus","Julorn","6.61|6"
"101","SRR9657508","ILC1","Lamprologus ocellatus","Lamoce","6.88|7"
"103","SRR9665703","IWD5","Lamprologus signatus","Lamsig","8.15|8"
"107","SRR9657490","AVD4","Lepidiolamprologus attenuatus","Lepatt","7.38|7"
"109","SRR9657495","AUE6","Lepidiolamprologus elongatus","Lepelo","7.25|7"
"118","SRR9657502","ILB6","Neolamprologus brevis","Neobre","6.49|6"
"119","SRR9673963","JUH9","Neolamprologus brichardi","Neobri","8.39|9"
"120","SRR9673983","JEI4","Neolamprologus buescheri","Neobue","7.2|7"
"123","SRR9665663","IQA3","Neolamprologus caudopunctatus","Neocau","14.65|16"
"126","SRR9665684","IVE8","Neolamprologus crassus","Neocra","8.83|9"
"127","SRR9657524","GPH1","Neolamprologus cylindricus","Neocyl","13.67|15"
"128","SRR9675315","JXD4","Neolamprologus falcicula","Neofal","9.12|9"
"131","SRR9675333","JWH1","Neolamprologus gracilis","Neogra","11.41|12"
"133","SRR9675320","JWG8","Neolamprologus helianthus","Neohel","5.51|5"
"136","SRR9675336","JWI2","Neolamprologus longicaudatus","Neolon","8.17|8"
"138","SRR9675331","JWH3","Neolamprologus marunguensis","Neomar","10.92|12"
"144","SRR9673859","KYA1","Neolamprologus niger","Neonig","6.37|6"
"147","SRR9675337","JWH5","Neolamprologus olivaceous","Neooli","10.81|11"
"152","SRR9665648","ISA6","Neolamprologus pulcher","Neopul","6.87|7"
"153","SRR9665649","ISA8","Neolamprologus savoryi","Neosav","8.78|9"
"158","SRR9673929","LFD2","Neolamprologus sp. 'cygnus' AB-2019","Neocyg","8.28|8"
"160","SRR9673893","LCB5","Neolamprologus sp. 'falcicula mahale' AB-2019","NeofaM","6.24|6"
"163","SRR9657505","ILE5","Neolamprologus sp. 'kombe' AB-2019","Neokom","5.75|5"
"164","SRR9674035","JED4","Neolamprologus sp. 'ventralis stripe' AB-2019","NeoveS","8.09|8"
"168","SRR9675375","JZD5","Neolamprologus toae","Neotoa","8.46|9"
"169","SRR9673849","KFH4","Neolamprologus tretocephalus","Neotre","7.73|8"
"172","SRR9673925","KFD2","Neolamprologus walteri","Neowal","7.45|7"
"181","SRR9657479","IMB3","Telmatochromis temporalis","TelteS","5.86|6"
"182","SRR9673971","JBD5","Telmatochromis vittatus","Telvit","7.11|7"
"183","SRR9657509","AUC3","Variabilichromis moorii","Varmoo","9.38|10"
"193","SRR9673981","JEG5","Triglachromis otostigma","Trioto","9.14|9"
"212","SRR9657492","AVA8","Shuja horei","Ctehor","7.91|8"
"213","SRR9657560","AWB7","Gnathochromis pfefferi","Gnapfe","7.49|8"
"215","SRR9657565","AWI5","Limnotilapia dardennii","Limdar","7.84|8"
"216","SRR9665643","ISD8","Lobochilotes labiata","Loblab","7.57|7"
