species_six,species,peak_amplitude,peak,day_night_dif,cluster
Altcal,Altolamprologus calvus,12.827370809277600,0.4791666666666670,-0.09688077196515010,1
Altcom,Altolamprologus compressiceps,13.59559284657820,0.7222222222222220,0.19665849345890900,2
Altshe,Altolamprologus shell,8.004377850784280,0.3452380952380950,0.09149633032297060,7
Astbur,Astatotilapia burtonichipwa,-5.378479312171210,0.6439393939393940,0.4294522195252260,6
Auldew,Aulonocranus dewindti,11.357011629041500,0.5694444444444440,0.06238460188031750,1
Boumic,Boulengerochromis microlepis,10.170735390357800,0.8095238095238100,0.38297284209331300,6
Calple,Callochromis pleurospilus,6.50603869278427,0.6041666666666670,0.27048609389984800,6
Chacya,Chalinochromis cyanophleps,18.83995223144670,0.8333333333333330,-0.16012207516105000,1
Cphfro,Cyphotilapia frontosa,15.014468405712000,0.7121212121212120,0.12452903251695000,1
Ctehor,Ctenochromis horei,11.186983613611300,0.6979166666666670,0.08360515253297680,6
Cypcol,Cyprichromi coloratus jumbo,4.191249248923030,0.4318181818181820,0.426427342979142,6
Cyplep,Cyprichromis leptosoma,3.6652083711852600,0.3680555555555560,0.14845768384885200,6
Enamel,Enantiopus melanogenys,14.462585947907500,0.5530303030303030,0.11506927870409600,11
Erecya,Eretmodus cyanostictus,17.758250633788900,0.8472222222222220,0.400012510155594,6
Gnapfe,Gnathochromis pfefferi,27.908801331881700,0.5476190476190480,-0.08735346146753030,1
Hapred,Haplochromis 'red back scraper',19.799453709233000,0.826388888888889,0.2705256339739850,6
Juldic,Chalinochromis dickfeldi,13.732991135271500,0.7803030303030300,0.2711256819363760,4
Julmrk,Julidochromis marksmithi,9.009022200883850,0.6458333333333330,0.0016498987175722800,4
Julorn,Julidochromis ornatus,3.4672541212165700,0.5303030303030300,0.29665459210575300,6
Julreg,Julidochromis regani,7.749104691408520,0.6166666666666670,0.17361063433388300,6
Lamoce,Lamprologus ocellatus,13.571493381439900,0.675925925925926,-0.13320437798547700,1
Lamsig,Lamprologus signatus,-2.7081146259828600,0.23717948717948700,0.710833954177594,6
Lepatt,Lepidiolamprologus attenuatus,17.65519510247730,0.7333333333333330,0.11105166756102200,2
Lepelo,Lepidiolamprologus elongatus,16.008455006423900,0.8194444444444450,0.2007642540983360,5
Limdar,Limnotilapia dardennii,9.398817951565740,0.5714285714285710,-0.012583875319662600,6
Loblab,Lobochilotes labiatus,19.715000000000000,1.0,0.1809051720946730,6
Neobre,Neolamprologus brevis,10.180590620599800,0.5530303030303030,-0.21900087618155900,1
Neobri,Neolamprologus brichardi,9.957681213830740,0.6527777777777780,0.2115405630709420,6
Neobue,Neolamprologus buescheri,9.875269085888970,0.8541666666666670,0.5022860239343770,6
Neocau,Neolamprologus caudopunctatus,8.984165154216350,0.45833333333333300,-0.058643103954504900,5
Neocra,Neolamprologus crassus,1.8207025633937000,0.4242424242424240,0.24045543924088100,6
Neocyg,Neolamprologus cygnus,6.011743076274070,0.43750000000000000,0.026766750654670400,2
Neocyl,Neolamprologus cylindricus,4.926774891585850,0.5,-0.14918083311591,1
Neodev,Neolamprologus devosi,15.763987591542100,0.8333333333333330,0.13575797774536400,10
Neofal,Neolamprologus falcicula,10.536513876575400,0.6527777777777780,-0.014723153647226600,2
NeofaM,Neolamprologus faM,3.2200110371557800,0.4166666666666670,0.24688441180497100,6
Neogra,Neolamprologus gracilis,0.3233496280891360,0.20454545454545500,0.07386104704604860,6
Neohel,Neolamprologus helianthus,12.760821896398000,0.7023809523809520,0.03556961029964330,2
Neokom,Neolamprologus kombe,13.129297666618900,0.6805555555555560,0.037448593805856000,2
Neolon,Neolamprologus longicaudatus,24.19241491524260,0.9047619047619050,0.1501775578693940,4
Neomar,Neolamprologus marunguensis,6.30841848388472,0.6547619047619050,0.3425956462891890,6
Neomul,Neolamprologus multifasciatus,16.1571967075926,0.6851851851851850,-0.24665476748052400,1
Neonig,Neolamprologus niger,16.061253038885300,0.8194444444444450,-0.21753522967672000,1
Neooli,Neolamprologus olivaceous,12.384449525311800,0.7916666666666670,-0.15650571273436600,2
Neopul,Neolamprologus pulcher daffodil,15.946878304112200,0.7430555555555560,0.2510481056890810,8
Neosav,Neolamprologus savoryi,11.803026425318800,0.7416666666666670,0.2680064560193270,6
Neotoa,Neolamprologus toae,9.56363489254045,0.6363636363636370,-0.38080838815999800,1
Neotre,Neolamprologus tretocephalus,8.151512388858980,0.625,-0.38968650986706900,1
NeoveS,Neolamprologus ventralis,0.21945488163179300,0.34375,0.4375978509145070,6
Neowal,Neolamprologus walteri,12.140552562121200,0.7291666666666670,-0.029608975403158300,1
Ophboo,Ophthalmotilapia boops,28.478148019574000,0.8166666666666670,-0.04601730339736380,1
Pcynig,Paracyprichromis nigripinnis,8.739287797760890,0.712121212121212,0.10026267907225100,5
Petpol,Petrochromis polyodon,38.83427821206500,0.8257575757575760,0.07328664157651070,2
Telluf,Telmatochromis lufubu,12.874861158126100,0.7976190476190480,0.08174351314702550,6
TelteS,Telmatochromis 'shell' temporalis,9.71790145490774,0.548611111111111,-0.22796588750158400,1
Telvit,Telmatochromis vittatus,0.27844515365090200,0.1875,-0.22274905663107300,9
Trioto,Triglachromis otostigma,18.981469684685300,0.875,-0.019929593094957200,2
Tromoo,Tropheus moorii,30.58439991988670,0.8333333333333330,0.21836551144646000,6
Tronig,Tropheus bemba,19.584616921388200,0.9305555555555560,0.3775216122677730,6
Tylpol,Tylochromis polylepis,18.344731425275600,0.9375,-0.15114114518831200,2
Varmoo,Variabilichromis moorii,6.46884463982783,0.3452380952380950,-0.0210952410410083,3
Xenbat,Xenotilapia bathyphila,5.9093836505365,0.21250000000000000,-0.15273567622980900,1
Xenspi,Xenotilapia spiloptera,9.395224138331690,0.48611111111111100,-0.07581714994970940,1
