Gene.name	GO.term.accession
fktn	HPO:HP:0001270~Motor delay
pdpk1	GO:0005524
stn1	GO:0045111
pdpk1	MGD:MP:0005018~decreased T cell number
minar1	GO:0010977
LOC100708955	GO:0045944
rps3	GO:0006413
drd2	GAD_DISEASE:olanzapine
lcmt2	REACTOME_PATHWAY:R-HSA-72306~tRNA processing
LOC100706770	GAD_DISEASE:Blood Pressure
metrnl	GO:0005179
riox2	GO:0016491
orai1	REACTOME_PATHWAY:R-HSA-168256~Immune System
LOC100705558	GO:0005509
LOC102082809	GO:0036003
LOC100710627	HPO:HP:0002069~Bilateral tonic-clonic seizure
cerkl	HPO:HP:0000543~Optic disc pallor
map3k8	GO:0005829
LOC100709255	HPO:HP:0007350~Hyperreflexia in upper limbs
hoxd4	GO:0048568
LOC100711153	CTD:CXXX~No diseases associated
pdpk1	MGD:MP:0005491~pancreatic islet hyperplasia
ubp1	GO:0005634
dcaf7	GO:0032991
lrpprc	GO:0005515
kras	DISGENET:C0151857~Pleocytosis
LOC100711482	GO:0016020
atat1	GO:0060271
LOC100701197	GO:0051496
LOC100703924	GO:0055085
fcho2	GO:0005829
LOC100695379	HPO:HP:0000821~Hypothyroidism
ppfia2	GO:0005515
slc8a3	GO:0005783
acsl4	HPO:HP:0002907~Microscopic hematuria
mlx	GO:0045892
ap4s1	REACTOME_PATHWAY:R-HSA-5653656~Vesicle-mediated transport
LOC100694482	HPO:HP:0005180~Tricuspid regurgitation
bbs1	HPO:HP:0010747~Medial flaring of the eyebrow
aars	GO:0006399
zdhhc22	MGD:MP:XXX~No phenotype
hras	GO:0001934
LOC102082062	
LOC100695155	GO:0031625
anapc11	GO:0005680
ilvbl	CRB:CRB:XXX~No CRB phenotype
etv6	GAD_DISEASE:Multiple System Atrophy
abraxas1	REACTOME_PATHWAY:R-HSA-5693532~DNA Double-Strand Break Repair
LOC100705260	MGD:MP:0005662~increased circulating adrenaline level
LOC100692426	GO:0004461
trappc12	HPO:HP:0030043~Hip subluxation
ppp1cc	GO:0005739
LOC100696647	GO:0003723
mthfr	GAD_DISEASE:Arthritis, Psoriatic|Arthritis, Rheumatoid|Spondylitis, Ankylosing
LOC100710669	GO:0008236
pappa2	PSYGENET:CXXX~No diseases associated
nfatc4	GO:0007616
tmem62	HPO:HPO:XXX~No HPO phenotype
sox2	HPO:HP:0000966~Hypohidrosis
fto	PSYGENET:C0001973~Alcoholic Intoxication, Chronic
podxl	GO:0030175
ky	HPO:HP:0007210~Lower limb amyotrophy
haus4	GO:0005874
LOC100701748	MGD:MP:0011488~abnormal ureterovesical junction morphology
LOC100711230	GO:0006911
LOC102077771	GO:0005634
acly	GO:0035578
LOC100696627	HPO:HPO:XXX~No HPO phenotype
wnt4	GO:0001889
